ID,Name,Origin,Description,Attack,Magical Force,Magical Defence,Defence,Intelligence,Health,Experience
44,Amaburakosagi,Japanese,Ritual disciplinary demon from Shikoku.,25,12,9,20,10,18,12
45,Amala,Tsimshian,Giant who holds up the world.,6,9,6,29,23,30,23
46,Amamehagi,Japanese,Ritual disciplinary demon from Hokuriku.,25,3,13,14,5,6,27
47,Amanojaku,Japanese,Small demon.,20,21,13,5,16,25,1
48,Amarok,Inuit,Giant wolf.,10,22,14,13,5,23,30
49,Amarum,Quechua,Water boa spirit.,21,26,18,4,6,27,13
50,Amemasu,Ainu,Lake monster.,24,8,25,4,30,4,22
51,Ammit,Ancient Egyptian,Female demon with a body that was part lion; hippopotamus and crocodile.,9,23,21,16,7,5,8
52,Amorōnagu,Japanese,Tennyo from the island of Amami Ōshima.,4,23,5,12,28,20,26
53,Amphiptere,Heraldic,Winged serpent.,27,14,7,27,21,23,8
54,Amphisbaena,Greek,Serpent with a head at each end.,21,25,6,14,25,7,24
55,Anak,Jewish,Giant.,8,29,9,17,27,17,2
56,Angel,mainly Christian; Jewish; Islamic traditions,From the Greek ángelos; divine beings of Heaven who act as mediators between God and humans; the counterparts of Demons.,17,30,17,3,20,26,15
57,Ani Hyuntikwalaski,Cherokee,Lightning spirit.,15,9,11,28,3,18,4
58,Ankou,French,Skeletal grave watcher with a lantern and a scythe.,20,21,25,3,4,21,4
59,Anmo,Japanese,Ritual disciplinary demon from Iwate Prefecture.,19,6,13,10,4,9,13
60,Antaeus,Greek,Giant who was extremely strong as long as he remained in contact with the ground.,5,4,30,15,26,29,4
61,Anubis,Ancient Egyptian,God of the Underworld,12,6,7,17,24,26,27
62,Antero Vipunen,Finnish,Subterranean giant.,5,12,16,22,6,26,29
63,Ao Ao,Guaraní,Anthropophagous peccary or sheep.,19,27,6,30,18,29,3
64,Aobōzu,Japanese,Blue monk who kidnaps children.,20,26,26,4,18,15,13
65,Apsaras,Buddhist and Hindu,Female cloud spirit.,20,26,3,8,16,10,12
66,Arion,Greek,Extremely swift horse with a green mane and the power of speech.,6,24,26,28,27,16,5
67,Arkan Sonney,Manx,Fairy hedgehog.,19,25,9,22,5,17,28
68,Asag,Sumerian,Hideous rock demon.,4,15,3,10,26,11,9
69,Asakku,Sumerian,Demon.,3,25,7,8,10,3,14
70,Asiman,Dahomey,Vampiric possession spirit.,5,24,13,8,9,29,29
71,Askefrue,Germanic,Female tree spirit.,24,21,14,14,27,18,8
72,Asobibi,Japanese,Spectral fire from Kōchi Prefecture.,19,4,30,28,24,16,14
73,Asrai,English,Water spirit.,29,13,6,24,16,12,21
74,Astomi,Greek,Humanoid sustained by pleasant smells instead of food.,27,20,21,9,29,15,29
75,Atomy,English,Surprisingly small creature.,22,27,26,14,14,24,29
76,Atshen,Inuit,Anthropophagous spirit.,22,30,30,21,29,26,11
77,Auloniad,Greek,Pasture nymph.,17,6,17,3,18,26,23
78,Avalerion,Medieval Bestiary,King of the birds.,14,11,13,25,26,3,3
79,Ayakashi,Japanese,Sea serpent that travels over boats in an arc while dripping oil.,6,14,9,24,16,25,9
80,Aziza,Dahomey,Little people that help hunters.,18,5,22,26,24,29,27
81,Azukiarai,Japanese,Spirit that washes azuki beans along riversides.,9,24,23,30,3,8,13
82,Azukitogi,Japanese,Spirit that washes azuki beans along riversides.,8,13,25,12,4,29,14
83,Baba Yaga,Slavic,Forest spirit and hag,20,28,21,27,10,14,30
84,Backoo,Guyanese,Malevolent little people,28,23,9,8,9,24,28
85,Bagiennik,Slavic,Malevolent water spirit,28,10,16,3,27,19,5
86,Bahamut,Arabian,Giant fish,22,21,27,28,19,6,10
87,Bardha,Albanian,Mountain spirit,4,7,10,27,5,25,27
88,Bar Juchne,Abrahamic and Talmudic,Bird,19,4,13,28,6,12,8
89,Bai Ze,Chinese,Talking beast which handed down knowledge on harmful spirits,16,22,3,27,15,20,1
90,Ba Jiao Gui,Chinese,Banana tree spirit,22,24,29,5,23,18,30
91,Bakeneko,Japanese,Magical cat,20,13,30,16,25,3,9
92,Bakezōri,Japanese,Animated straw sandal,20,20,25,12,18,20,18
93,Bakhtak,Iranian,Night demon,11,9,3,7,21,30,5
94,Bakunawa,Philippine,Sea serpent that causes eclipses,26,29,13,10,15,27,22
95,Bannik,Slavic,Bathhouse spirit,12,22,5,6,13,9,5
96,Banshee,Irish,Death spirit,22,9,22,6,13,18,12
97,Baobhan Sith,Celtic Mythology,Beautiful vampiric seductresses who prey on young travelers,29,20,28,5,16,27,26
98,Bardi,Trabzon,Shapechanging death spirit,18,18,13,7,14,29,0
99,Barghest,Yorkshire,black dog,22,25,28,5,29,15,11
100,Bar Juchne,Jewish,Gigantic bird,27,13,5,7,23,25,13
101,Barnacle Geese,Medieval folklore,Geese which hatch from barnacles,10,13,9,16,25,26,12
102,Barong,Balinese,Tutelary spirit,11,11,26,28,16,8,17
103,BasCelik,Serbian,Powerful; evil winged man whose soul is not held by his body and can be subdued only by causing him to suffer dehydration,4,24,8,18,29,23,30
104,Bathala,Philippine,Primordial god of creation,3,28,24,25,9,13,13
105,Batsu,Chinese,Drought spirit,30,16,29,26,20,21,8
106,Baubas,Lithuanian,Malevolent spirit,26,13,6,11,4,20,24
107,Baykok,Ojibwa,Flying skeleton,14,15,13,9,22,7,13
108,Bean Nighe,Irish,Death spirit; a type of Banshee/Bean Sídhe,5,14,25,9,12,8,18
109,Behemoth,Jewish,Massive beast; possibly like a dinosaur or crocodile,3,21,17,17,20,27,4
110,Bendigeidfran,Welsh,Giant king,10,15,10,28,16,16,27
111,Berehynia,Slavic,Water spirit,16,24,12,29,17,8,13
112,Bergsrå,Norse,Mountain spirit,29,3,3,26,6,14,9
113,Bestial beast,Brazilian,Centauroid specter,27,12,30,18,18,26,15
114,Bhūta,Buddhist and Hindu,Ghost of someone killed by execution or suicide,6,19,25,23,15,4,16
115,Bies,Slavic,Demon,19,22,7,26,25,6,24
116,Binbōgami,Japanese,Spirit of poverty,9,23,30,27,11,25,14
117,Black Dog,British,Canine death spirit,26,30,25,9,17,3,8
118,Black Shuck,Norfolk; Essex; and Suffolk,black dog,6,9,14,23,9,9,0
119,Blemmyae,Medieval Bestiary,Headless humanoid with face in torso,28,23,25,16,15,13,2
120,Bloody Bones,Irish,Water bogeyman,24,18,6,9,22,25,21
121,Blue Crow,Brazilian,Giant amazonian bird.,8,25,10,5,26,16,6
122,Bodach,Scottish,Malevolent spirit,22,21,23,19,7,23,13
123,Bogeyman,English,Malevolent spirit,10,9,15,23,6,29,24
124,Boggart,English,Malevolent household spirit,28,15,16,28,3,18,23
125,Boginki,Polish,Nature spirit,14,12,18,29,12,9,16
126,Bogle,Scottish,Malevolent spirit,20,27,20,11,21,24,11
127,Bolla,Albanian,Dragon,9,9,12,29,9,16,26
128,Boobrie,Scottish,Roaring water bird,4,6,12,22,23,3,20
129,Bozaloshtsh,Slavic,Death spirit,4,13,19,19,29,14,1
130,Brag,English,Malevolent water horse,26,28,25,13,20,24,4
131,Brownie,English and Scottish,Benevolent household spirit,7,21,23,30,23,7,22
132,Broxa,Jewish,Nocturnal bird that drains goats of their milk,15,13,18,7,16,28,9
133,Bugbear,English,Bearlike goblin,14,8,23,27,27,22,2
134,Bugul Noz,Celtic,Extremely ugly; but kind; forest spirit,26,15,5,30,6,11,21
135,Bush Dai Dai,Guyanese,Spirit that seduces and kills men,6,19,12,17,3,14,14
136,Bysen,Scandinavian,Diminutive forest spirit,29,4,23,30,15,13,0
137,Cabeiri,Greek,Smith and wine spirit,26,19,12,8,19,13,26
138,Caladrius,Medieval Bestiary,White bird that can foretell if a sick person will recover or die,12,5,16,9,4,8,9
139,Callitrix,Medieval Bestiary,Apes who always bear twins; one the mother loves; the other it hates,19,8,4,29,19,28,10
140,Calydonian Boar,Greek,Giant; chthonic boar,8,19,16,4,21,10,19
141,Cambion,Medieval folklore,Offspring of a human and an incubus or succubus; general term for any kind of human/demon hybrid,22,13,20,13,17,18,0
142,Camulatz,Mayan,Bird that ate the heads of the first men,8,27,4,25,8,7,14
143,Candileja,Colombian,Spectral; fiery hag,29,28,4,10,27,8,26
144,Canotila,Lakota,Little people and tree spirits,20,24,10,8,10,7,12
145,Čhápa,Lakota,Beaver spirit,13,17,22,17,10,21,17
146,Căpcăun,Romanian,Large; monstrous humanoid,29,7,29,29,19,14,17
147,Carbuncle,Latin America,Small creature with a jewel on its head,20,20,17,22,21,12,17
148,Cat Sidhe,Scottish,Fairy cat,8,20,16,14,8,17,11
149,Ceffyl Dŵr,Welsh,Malevolent water horse,26,16,6,11,13,29,7
150,Cerastes,Greek,Extremely flexible; horned snake,8,28,14,21,12,22,3
151,Cercopes,Greek,Mischievous forest spirit,22,7,15,21,11,21,30
152,Cericopithicus,Medieval Bestiary,Apes who always bear twins; one the mother loves; the other it hates,14,29,20,7,23,17,19
153,Ceryneian Hind,Greek,Hind with golden antlers and bronze or brass hooves,20,16,7,19,18,19,20
154,Cetan,Lakota,Hawk spirit,8,23,18,28,21,18,17
155,Chakora,Hindu,Lunar bird,8,24,29,28,13,22,10
156,Chaneque,Aztec,Little people and nature spirits,12,5,16,24,9,25,7
157,Charybdis,Greek,Sea monster in the form of a giant mouth,15,22,30,12,23,24,27
158,Chepi,Narragansett,Ancestral spirit that instructs tribe members,18,3,26,27,3,20,5
159,Chibaiskweda,Abenaki,Ghost of an improperly buried person,20,16,16,8,19,6,4
160,Chindi,Navajo,Vengeful ghost that causes dust devils,20,30,11,10,14,19,28
161,Chōchinobake,Japanese,Animated paper lantern,4,24,15,3,21,10,18
162,Chol,Biblical mythology,Regenerative bird,13,12,4,12,8,7,14
163,Chollima,Korean,Supernaturally fast horse,14,21,8,17,29,24,10
164,Chonchon,Mapuche,Disembodied; flying head,29,22,4,20,21,18,9
165,Choorile,Guyanese,Ghost of a woman that died in childbirth,8,29,19,23,18,20,6
166,Chromandi,Medieval Bestiary,Hairy savage with dog teeth,26,8,15,16,16,16,22
167,Chrysaor,Greek,Son of the gorgon Medusa; imaged as a giant or a winged boar,14,3,6,19,24,4,9
168,Chrysomallus,Greek mythology,Golden haired winged ram,8,14,17,8,6,30,22
169,Chukwa,Hindu,Giant turtle that supports the world,16,21,12,18,17,24,28
170,Chupacabra,Latin America,Cryptid beast; named for its habit of sucking the blood of goats and other livestock,7,3,29,23,8,26,27
171,Churel,Hindu,Vampiric; female ghost,4,25,24,28,13,23,16
172,Ciguapa,Dominican Republic,Malevolent seductress,19,22,9,3,19,12,13
173,Cihuateteo,Aztec,Ghost of women that died in childbirth,26,20,11,9,15,18,13
174,Cikavac,Serbian,Bird that serves its owner,22,9,26,20,25,26,23
175,Cinnamon bird,Medieval Bestiaries,Giant bird that makes its nest out of cinnamon,4,3,19,13,12,26,13
176,Cirein cròin,Scottish,Sea serpent,9,14,17,21,25,23,11
177,Coblynau,Welsh,Little people and mine spirits,10,9,18,24,18,11,7
178,Cofgod,English,Cove god,16,24,12,27,23,28,27
179,Corycian nymphs,Greek,Nymph of the Corycian Cave,12,26,30,10,15,18,9
180,Cretan Bull,Greek,Monstrous bull,6,22,7,16,10,14,2
181,Crinaeae,Greek,Fountain nymph,10,5,10,24,9,21,7
182,The Cu Bird,Mexican,El Pájaro Cu; a bird.,27,11,9,9,14,29,5
183,Cuco,Latin America,Bogeyman,19,28,7,15,25,3,23
184,Cucuy,Latin America,Malevolent spirit,12,3,28,27,6,12,0
185,Cuélebre,Asturian and Cantabrian,Dragon,14,15,22,7,3,25,1
186,Curupira,Tupi,Nature spirit,8,15,26,17,25,29,17
187,Cu Sith,Scottish,Gigantic fairy dog,9,21,19,8,15,24,3
188,Cŵn Annwn,Welsh,Underworld hunting dog,22,15,5,3,5,3,8
189,Cyhyraeth,Welsh,Death spirit,3,16,3,23,10,10,27
190,Dactyl,Greek,Little people and smith and healing spirits,18,22,14,6,28,4,7
191,Daemon,Greek,Incorporeal spirit,24,3,28,15,5,15,10
192,Dahu,France; Switzerland and the north of Italy,Like a deer or ibex with legs on one side of its body are shorter than on the other side,17,24,18,29,14,8,11
193,Daidarabotchi,Japanese,Giant responsible for creating many geographical features in Japan,7,22,3,26,5,29,14
194,Daitengu,Japanese,Most powerful class of tengu; each of whom lives on a separate mountain,30,5,19,29,23,11,2
195,Daitya,Hindu,Giant.,22,19,3,5,12,3,13
196,Danava,Hindu,Water demon.,25,8,10,7,11,3,10
197,Daphnaie,Greek,Laurel tree nymph.,15,24,26,6,23,8,29
198,Dead Sea Apes,Islamic,Human tribe turned into apes for ignoring Moses' message.,17,12,10,14,26,12,16
199,Deity,Global,Preternatural or supernatural possibly immortal being.,23,8,13,22,6,28,7
200,Demon,Global,From the Greek daímon; chthonic entities of Hell often seen as Satan's minions who are inimical to mankind; the counterparts of Angels.,21,24,19,12,30,6,7
201,Demigod,Global,Half human; half god.,27,5,14,4,18,21,1
202,Dhampir,Balkans,Human/vampire hybrid.,22,21,10,16,8,20,1
203,Diao Si Gui,Chinese,Hanged ghost.,7,9,18,23,29,24,28
204,Dilong,Chinese,Earth dragon.,5,18,30,22,21,10,8
205,Dip,Catalan,Demonic and vampiric dog.,13,12,12,16,23,26,2
206,Di Penates,Roman,House spirit.,17,25,24,19,22,4,2
207,Dipsa,Medieval Bestiaries,Extremely poisonous snake.,30,26,10,5,27,13,25
208,Dirawong,Australian Aboriginal,Goanna spirit.,30,29,11,10,13,15,18
209,Di sma undar jordi,Gotland,Little people and nature spirits.,24,20,7,26,17,21,2
210,Diwata,Philippine,Tree spirit.,17,10,27,13,27,18,4
211,Dokkaebi,Korean,Grotesque; horned humanoids.,24,17,16,23,19,29,18
212,Dökkálfar,Norse,Male ancestral spirits; the Dark Elves.,5,3,24,26,6,6,1
213,Dola,Slavic,Tutelary and fate spirit.,9,17,17,14,11,22,25
214,Domovoi,Slavic,House spirit.,13,15,4,29,12,26,5
215,Doppelgänger,German,Ghostly double.,17,20,19,8,19,9,0
216,Drac,French,Winged sea serpent.,11,25,8,28,23,22,13
217,Drakon,Greek,Greek dragons.,19,6,25,10,18,9,22
218,Drakaina,Greek,Dragons depicted with female characteristics.,6,19,19,26,18,10,30
219,Draugr,Norse,Undead.,7,14,5,17,30,3,20
220,Drekavac,Slavic,Restless ghost of an unbaptised child.,9,16,28,15,6,19,21
221,Drow,Scottish,Cavern spirit.,8,18,26,22,5,8,22
222,Drude,German,Possessing demon.,5,27,15,18,9,21,16
223,Druk,Bhutanese,Dragon.,15,14,13,15,27,23,7
224,Dryad,Greek,Tree nymph.,11,24,4,28,16,6,25
225,Duende,Spanish and Portuguese,Little people and forest spirits.,26,4,25,30,14,25,8
226,Duergar,English,Malevolent little people.,23,14,19,4,24,17,6
227,Dullahan,Irish,Headless death spirit.,24,19,5,12,4,22,19
228,Duwende,Philippine,Little people; some are house spirits; others nature spirits.,3,30,6,11,8,14,10
229,Dvergr,Norse,Subterranean little people smiths.,20,28,21,19,13,11,21
230,Dvorovoi,Slavic,Courtyard spirit.,29,24,11,29,29,13,10
231,Dwarf,Germanic,Little people nature spirits.,4,25,20,13,9,7,17
232,Engkanto,Philippine,Neutral nature spirit,25,30,12,3,3,20,5
233,Fachen,Irish and Scottish,Monster with half a body,30,30,15,9,24,19,9
234,Fafnir,Germanic mythology,Dwarf who was cursed and turned into a Dragon. Later slain by Sigurd in the Saga ofNibelung.,13,30,15,7,21,13,18
235,Fairy,Many cultures worldwide,Nature spirits,17,13,16,26,30,6,3
236,Familiar,English,Animal servant,21,17,14,22,8,24,26
237,Far darrig,Irish,Little people that constantly play pranks,13,24,4,26,12,14,7
238,Fear gorta,Irish,Hunger ghost,28,21,29,20,6,22,17
239,Feathered Serpent,Mesoamerican,dragon,13,10,24,29,30,21,4
240,Fei Lian,Chinese,Chinese god of the wind,27,14,6,7,30,22,9
241,Fenghuang,Chinese,Chinese Phoenix; female in marriage symbol,3,28,6,17,29,18,4
242,Fenodyree,Manx,House spirit,24,16,23,10,21,19,12
243,Fenrir,Norse,Gigantic; ravenous wolf,18,4,18,29,17,13,4
244,Fetch,Irish,Double or doppelgänger,9,13,22,30,29,25,15
245,Fext,Slavic,Undead,14,19,27,12,27,24,26
246,Fir Bolg,Irish,Ancestral race,23,10,18,25,9,23,19
247,Fire Bird,Many cultures worldwide,Regenerative; solar bird,4,9,15,19,16,26,6
248,Firedrake,Germanic,Dragon,4,10,26,26,23,7,13
249,Forest Bull,Medieval Bestiaries,Giant; red cattle with swiveling horns,28,5,11,11,18,24,14
250,Freybug,Norfolk,black dog,15,24,11,12,30,27,11
251,Fuath,Celtic,Malevolent water spirit,18,26,22,9,19,18,15
252,Fucanglong,Chinese,Underworld dragon,26,6,3,17,4,6,8
253,Funayūrei,Japanese,Ghosts of people who drowned at sea,9,15,8,19,25,21,7
254,Fylgja,Scandinavian,Animal familiar,19,22,28,19,22,29,5
255,Gaasyendietha,Seneca,Dragon,3,6,10,19,23,7,28
256,Gagana,Russian,Bird with iron beak and copper talons,13,9,10,12,16,18,11
257,Gaki,Japanese,Ghosts of especially greedy people,9,12,14,3,22,3,26
258,Gallu,Mesopotamian,Underworld demons,25,8,17,16,29,22,8
259,Galtzagorriak,Basque,Diminutive; demonic servants,23,12,12,12,29,25,13
260,Gamayun,Russian,Prophetic bird with human head,30,11,6,8,4,29,11
261,Gana,Hindu,Attendants of Shiva,16,8,15,11,16,20,10
262,Gancanagh,Irish,Male fairy that seduces human women,20,6,13,8,3,29,11
263,Gandharva,Hindu,Male nature spirits; often depicted as part human; part animal,16,7,26,23,30,30,28
264,Gargouille,French,Water dragon,27,12,10,8,13,25,14
265,Garmr,Norse,Giant; ravenous hound,8,15,27,21,17,12,0
266,Gashadokuro,Japanese,Giant; malevolent skeletons,3,6,24,18,3,4,13
267,Gaueko,Basque,Wolf capable of walking upright,7,18,24,11,13,30,0
268,Ged,Heraldic,The fish pike,27,13,21,20,4,10,29
269,Genie,Arabian,Elemental spirit,11,27,13,24,19,26,25
270,Genius loci,Roman,Spirit that protects a specific place,3,14,27,29,18,6,15
271,German,Slavic,Male spirit associated with bringing rain and hail,18,13,27,21,5,5,22
272,Ghillie Dhu,Scottish,Tree guardian,14,18,9,7,29,21,0
273,Ghost,Unknown,Disembodied spirits; specifically of those that have died,14,10,15,21,25,30,18
274,Ghoul,Arabian,Earth genie. Also a shape shifting desert anthropophagus; often classified as undead.,30,19,23,19,23,7,7
275,Giant,Worldwide,Humanoid creatures of immense size and strength,20,7,12,19,5,10,21
276,Giant animal,Worldwide,Unusually large beasts,28,12,16,29,28,20,16
277,Gidim,Sumerian,Ghost,25,27,9,6,6,9,23
278,Gigelorum,Scottish,Smallest animal,23,12,24,10,17,15,13
279,Gjenganger,Scandinavian,Corporeal ghost,14,18,7,26,19,12,22
280,Glashtyn,Manx,Malevolent water horse,13,18,26,6,18,8,17
281,Gnome,Alchemy,Diminutive Earth elemental,12,13,12,29,30,17,2
282,goatogo dragon,Unknown,a feared goat with wings that attack in packs of 25 to 700,7,6,8,23,30,17,0
283,Goblin,Medieval,Grotesque; mischievous little people,26,30,15,7,15,3,0
284,Gog,English,Giant protector of London,12,11,25,6,7,8,11
285,Golem,Jewish,Animated construct,19,25,22,11,18,4,4
286,Gorgades,Medieval Bestiary,Hairy humanoid,21,8,4,17,11,15,2
287,Goryō,Japanese,Vengeful ghosts; usually of martyrs,17,17,13,21,21,18,21
288,Gremlin,Folklore,Goblins that sabotage airplanes,25,26,8,5,22,13,12
289,Grigori,Christian; Jewish; and Islamic mythology,Fallen angels; father of Nephilim,15,29,30,26,15,23,5
290,Grim,English and Scandinavian,Tutelary spirits of churches,24,23,22,18,10,25,7
291,Grim Reaper,Worldwide,An angel of death; often thought to be God's/Satan's assistant,13,11,3,7,7,15,15
292,Grindylow,English,Malevolent water spirit,15,25,5,20,12,5,16
293,Gualichu,Mapuche,Malevolent spirit,14,28,8,11,3,26,13
294,Guardian angel,Christian; Jewish; and Islamic belief,A subclassification of angels that guard and protect a specific person or any living being,20,18,14,3,30,21,5
295,Guhin,Japanese,Anthropomorphic bird,20,8,8,29,19,8,12
296,Gui Po,Chinese,Ghost that manifests as an old woman,6,13,15,15,30,8,16
297,Gui Shu,Chinese,Ghostly tree that confuses travelers by moving,30,7,4,6,29,22,17
298,Gumiho,Korean mythology,Demon fox with thousands of tails. Believed to possess an army of spirits and magic in its tails.,27,9,6,29,9,17,17
299,Gwyllgi,Welsh,black dog,22,15,9,29,3,27,29
300,Gwyllion,Welsh,Malevolent spirit,14,19,24,10,28,17,27
301,Gytrash,Lincolnshire and Yorkshire,black dog,23,19,19,15,14,15,28
302,Habrok,Norse," The ""best"" hawk",9,6,22,5,20,12,3
303,Hadhayosh,Persian,Gigantic land animal,20,14,9,5,13,17,5
304,Hag,Many cultures worldwide,Wizened old woman; usually a malevolent spirit with this specific form; or a goddess in disguise,13,19,21,5,18,6,26
305,Hakutaku,Japanese,Talking beast which handed down knowledge on harmful spirits,13,4,25,19,24,13,20
306,Hākuturi,Māori,Nature guardian,9,8,13,3,8,26,13
307,Haltija,Finnish,Spirit that protects a specific place,29,15,8,8,18,6,30
308,Hamadryad,Greek,Oak tree nymph,21,18,24,18,9,26,7
309,Hamingja,Scandinavian,Personal protection spirit,8,21,30,7,11,20,30
310,Hamsa,Buddhist; Hindu; and Jainism,Mystical bird,30,23,4,30,7,17,3
311,Hantu Air,Malay,Shapeshifting water spirit,4,28,25,5,14,28,26
312,Hantu Demon,Philippine,Demon,20,5,10,13,26,3,3
313,Hantu Raya,Malay,Demonic servant,25,15,24,30,27,28,16
314,Harionago,Japanese,Humanoid female with barbed; prehensile hair,29,13,12,19,14,13,3
315,Harpy,Greek,Death spirit with the form of a bird with a human head,28,4,23,25,4,21,18
316,Haugbui,Norse,Undead who cannot leave its burial mound,14,16,20,24,16,11,20
317,Havsrå,Norse,Saltwater spirit,11,25,18,4,5,12,17
318,Headless Horseman,European,Humanoid spirit who haunts or kills,3,16,3,17,14,30,24
319,Hecatonchires,Greek,Primordial giants with 100 hands and fifty heads,5,9,5,29,28,21,10
320,Heinzelmännchen,German,Household spirit,7,25,18,10,10,6,15
321,Helead,Greek,Fen nymph,22,11,25,4,9,14,12
322,Hellhound,Many cultures worldwide,Dog from underworld,4,22,9,21,26,28,9
323,Heracles,Greek,Gatekeeper of Olympus,19,11,15,26,5,22,21
324,Hercinia,Medieval Bestiaries,Glowing bird,25,29,7,11,4,9,17
325,Herensuge,Basque,Dragon,20,26,13,6,7,18,1
326,Hesperides,Greek,Nymph daughters of Atlas,23,29,21,13,25,15,2
327,Hidebehind,United States,Nocturnal forest creature,27,29,5,18,18,23,21
328,Hiderigami,Japanese,Drought spirit,10,28,10,3,6,22,5
329,Hihi,Japanese,Baboon monster,24,17,8,27,25,14,17
330,Hiisi,Finnish,Nature guardian,16,20,11,3,7,14,4
331,Hitodama,Japanese,Ghosts of the newly dead; which take the form of fireballs,24,10,21,26,18,6,1
332,Hob,English,House spirit,24,27,9,20,24,27,23
333,Hobbididance,English,Malevolent spirit,8,18,25,27,16,16,17
334,Hobgoblin,Medieval,Friendly or amusing goblin,7,12,9,8,25,18,17
335,Hodag,Native American,Part frog; part mammoth; part lizard; from Native American mythology,8,16,22,14,18,20,23
336,Hokhokw,Kwakiutl,Bird,30,8,18,4,24,23,15
337,Homunculus,Alchemy,Diminutive; animated construct,9,7,17,8,5,29,30
338,Hoopoe,Unknown,Near passerine bird common to Africa and Eurasia that features in many mythologies in those continents,15,15,24,25,13,29,18
339,Horned Serpent,Native American,Serpentine rain spirit,24,3,10,22,9,26,10
340,Hotoke,Japanese,Deceased person,18,9,10,25,27,30,10
341,Houri,Islamic,Heavenly beings,14,7,25,16,7,15,24
342,Hraesvelg,Norse,Giant; who in eagle form; creates the wind by beating his wings,15,11,22,12,9,26,18
343,Hrímþursar,Norse,Frost Giants who are the main inhabitants of either Jotunheim or Niflheim,5,9,16,6,23,7,9
344,Hugin and Munin,Norse,Thought and Memory; a pair of ravens associated with the Norse god Odin,8,19,11,24,28,23,25
345,Huldra,Scandinavian,Forest spirit,8,29,11,9,13,18,6
346,Huma,Persian,Regenerative fire bird,3,29,17,11,16,27,28
347,Hundun,Chinese,Chaos spirit,17,19,25,26,9,11,4
